id_cliente,tier,score_A,score_B,default_prob,decision,credit_limit,expected_loss,inadimplente
1548530015244,BEHAVIORAL,0.68,0.863,0.6369,AUTO-DENY,0,0.0,1
1549958433989,APPLICATION,0.0,0.4424,0.2212,MANUAL,0,0.0,0
1550261217989,APPLICATION,0.0,0.5137,0.2569,AUTO-DENY,0,0.0,0
1555499420002,MANUAL_REVIEW,0.0,0.8847,0.4423,AUTO-DENY,0,0.0,0
1556841912692,MANUAL_REVIEW,0.0,0.9137,0.5432,AUTO-DENY,0,0.0,1
1557614346727,BEHAVIORAL,0.6216,0.7241,0.0545,AUTO-APPROVE,25000,1362.5,0
1559123146333,MANUAL_REVIEW,0.0,0.7498,0.3749,AUTO-APPROVE,8000,2999.2000000000003,0
1562587355831,APPLICATION,0.0,0.2162,0.8919,AUTO-DENY,0,0.0,1
1571843727821,BEHAVIORAL,0.6324,0.334,0.0515,AUTO-APPROVE,25000,1287.5,0
1572848652868,APPLICATION,0.0,0.5771,0.2886,AUTO-DENY,0,0.0,0
1572864112951,BEHAVIORAL,1.0,0.9656,0.2215,AUTO-APPROVE,10000,2215.0,0
1576227376627,APPLICATION,0.0,0.5358,0.7321,AUTO-DENY,0,0.0,1
1585271049483,MANUAL_REVIEW,0.0,0.8817,0.5592,AUTO-DENY,0,0.0,0
1587324266661,BEHAVIORAL,0.5189,0.8477,0.1912,AUTO-APPROVE,10000,1912.0,0
1589155188620,APPLICATION,0.0,0.4964,0.2482,MANUAL,0,0.0,0
1591504654578,MANUAL_REVIEW,0.0,0.9047,0.5476,AUTO-DENY,0,0.0,0
1593403784928,MANUAL_REVIEW,0.0,0.716,0.358,AUTO-APPROVE,8000,2864.0,0
1597246979713,APPLICATION,0.0,0.5053,0.2527,AUTO-DENY,0,0.0,1
1598489565226,APPLICATION,0.0,0.4075,0.2038,MANUAL,0,0.0,0
1599184619513,MANUAL_REVIEW,0.0,0.7261,0.637,AUTO-DENY,0,0.0,0
1604500373609,APPLICATION,0.0,0.2981,0.149,AUTO-APPROVE,8000,1192.0,0
1604881175692,BEHAVIORAL,0.725,0.5838,0.4801,AUTO-DENY,0,0.0,0
1606396977318,APPLICATION,0.0,0.3219,0.1609,MANUAL,0,0.0,0
1608315548358,BEHAVIORAL,1.0,0.1614,0.1868,AUTO-APPROVE,10000,1868.0,0
1608989141951,APPLICATION,0.0,0.4692,0.2346,MANUAL,0,0.0,0
1610467213431,MANUAL_REVIEW,0.0,0.7564,0.3782,AUTO-APPROVE,8000,3025.6,0
1613442634681,BEHAVIORAL,0.6875,0.962,0.5382,AUTO-DENY,0,0.0,1
1617275154995,MANUAL_REVIEW,0.0,0.6552,0.6724,AUTO-DENY,0,0.0,1
1620683778756,BEHAVIORAL,0.6452,0.6355,0.6471,AUTO-DENY,0,0.0,1
1621305096724,MANUAL_REVIEW,0.0,0.8537,0.5731,AUTO-DENY,0,0.0,0
1621806964728,MANUAL_REVIEW,0.0,0.9385,0.5308,AUTO-DENY,0,0.0,1
1622045036183,MANUAL_REVIEW,0.0,0.9627,0.4814,AUTO-DENY,0,0.0,0
1622088268445,MANUAL_REVIEW,0.0,0.6292,0.6854,AUTO-DENY,0,0.0,1
1622762416673,MANUAL_REVIEW,0.0,0.9003,0.5498,AUTO-DENY,0,0.0,1
1627983244101,MANUAL_REVIEW,0.0,0.6382,0.6809,AUTO-DENY,0,0.0,1
1628221399288,MANUAL_REVIEW,0.0,0.8076,0.5962,AUTO-DENY,0,0.0,0
1631361224796,MANUAL_REVIEW,0.0,0.7511,0.6244,AUTO-DENY,0,0.0,1
1632822861369,MANUAL_REVIEW,0.0,0.9295,0.5352,AUTO-DENY,0,0.0,0
1634509250621,BEHAVIORAL,0.6286,0.6174,0.3599,AUTO-DENY,0,0.0,0
1639943344115,MANUAL_REVIEW,0.0,0.9968,0.5016,AUTO-DENY,0,0.0,0
1647475067616,BEHAVIORAL,0.5106,0.3767,0.1404,AUTO-APPROVE,15000,2106.0,0
1649797872184,MANUAL_REVIEW,0.0,0.8013,0.4006,AUTO-DENY,0,0.0,0
1653404177885,APPLICATION,0.0,0.302,0.151,MANUAL,0,0.0,0
